Model,Accuracy,Precision,Recall,F1,AUC
RandomForest,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9950396825396824
SVM,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9927248677248677
MLP,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9930555555555556
KNN,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9816468253968255
DecisionTree,0.9298245614035088,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9246031746031745
GaussianNB,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9890873015873015
